"sname","fname","labour","tory","lnrealgross","lnrealnet","treated","yob","yod","scat_pub","scat_eto","scat_sec","scat_nm","ucat_ox","ucat_deg","ucat_nm","aristo","female","oc_teacherall","oc_barrister","oc_solicitor","oc_dr","oc_civil_serv","oc_local_politics","oc_business","oc_white_collar","oc_union_org","oc_journalist","oc_miner","wobl_race_region","pre_wobl","wobl_race_electorate","wobl_race_turnout","wobl_race_effective_number_of_ca","wobl_margin","directorships_1983"
"Manley","Roy",1,0,12.5584030151367,12.5471563339233,0,1930,1999,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"East of England",-0.07665054500103,63739,0.781248509883881,2.40453958511353,-0.167965292930603,0
"Insley","Noel",1,0,12.597954750061,12.5495281219482,0,1922,2005,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"East of England",-0.00364336487837136,41651,0.839955806732178,1.99901902675629,-0.0221523512154818,0
"Tucker","Geoffrey",0,1,12.9323959350586,12.9242572784424,0,1925,2003,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"West Midlands",-0.272126704454422,63777,0.782351016998291,1.93340921401978,-0.185586020350456,0
"Unsworth","Cyril",0,1,12.2629508972168,12.2629508972168,0,1925,1987,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"North West England",-0.299292117357254,69642,0.76851612329483,1.97657096385956,-0.108873151242733,0
"Wegg-Prosser","Charles",1,0,11.6527318954468,11.6527318954468,0,1910,1996,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Greater London",NA,48210,0.740385830402374,2.20444917678833,-0.191152572631836,0
"Attlee","Christopher",1,0,12.0808362960815,12.0808362960815,0,1915,1987,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"North West England",-0.0635380521416664,43811,0.803382694721222,1.96714091300964,-0.129243969917297,0
"Russell","Dorothy",0,1,11.7829608917236,11.7829608917236,0,1895,1992,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"East Midlands",-0.167750135064125,50602,0.760543048381805,1.97315418720245,-0.116642847657204,0
"Russell","Conrad",1,0,13.0019149780273,12.9912185668945,0,1937,2004,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Greater London",-0.165361225605011,34176,0.623858869075775,2.40355324745178,-0.0676797553896904,0
"Barber","Anthony",0,1,11.946047782898,11.4070243835449,1,1920,2005,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Yorkshire and Humberside",-0.018284048885107,57581,0.861846804618835,1.99988031387329,0.0077378791756928,0
"Edmonds","Richard",1,0,11.8151445388794,11.8151445388794,0,1910,1988,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"Greater London",-0.0987285152077675,54069,0.803047955036163,2.38488340377808,-0.143551364541054,0
"Benenson","Peter",1,0,13.0221099853516,13.0078706741333,0,1921,2005,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"South West England",-0.0527535118162632,62258,0.831652164459229,1.99930548667908,-0.0186376199126244,0
"King","Horace",1,0,12.5100870132446,12.5100870132446,1,1901,1986,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"South East England",NA,62106,0.8439120054245,2.28687906265259,0.026501564309001,0
"Derbyshire","William",0,1,12.4480905532837,12.4480905532837,0,1913,2000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"East Midlands",-0.233774036169052,70672,0.693598568439484,2.32832527160645,-0.148557677865028,NA
